ts	modell	auftrag	rc	tokens≈
2026-08-22T17:10	sonnet-5	mlx-llm-versionen-research	0	140k
2026-08-22T17:25	opus-5	architektur-vogelperspektive	0	184k
2026-08-22T17:55	sonnet-5	sauger-wartung-lesbar	0	268k
2026-08-22T19:55	opus-5	research-erkennung-0.9.1	0	223k
2026-08-22T20:05	sonnet-5	mlx-upgrade-vorbereitung	0	241k
2026-08-22T20:25	opus-5	widget-resize-uhr-wetter	0	350k
2026-08-22T20:40	opus-5	orb-transparenz	0	296k
2026-08-22T20:55	opus-5	research-persoenlichkeit	0	199k
2026-08-22T23:20	sonnet-5	widget-toggles-settings	0	229k
2026-08-22T23:55	opus-5	edit-touch-ipad+firefox-fix	0	469k+429k+373k
2026-08-23T00:40	opus-5	uhr-regression+mondphase	0	315k
2026-08-23T01:30	opus-5	gesten-lane-h-zug+link+abriss	0	405k
2026-08-23T02:20	sonnet-5	readme-0.9.0	0	113k
2026-08-23T03:30	opus-5	wecker-geloescht-klingelt	0	224k
2026-08-23T04:10	opus-5	sauger-start-wirkungslos	0	168k
2026-08-23T04:40	opus-5	plan-0.9.1	0	156k
2026-08-23T05:20	opus-5	homescreen-finale-overlay+editbar	0	510k
2026-08-23T06:00	opus-5	hanaikada-performance	0	296k
2026-08-23T07:10	opus-5	inhalt-maximieren+play	0	516k
